scene	item	shown	exact	source	how_read
15	chart	Thallus legatribens, big children	61 points	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	alive every 500 s: [0, 7, 149, 299, 295, 280, 217, 218, 204, 206, 243, 289, 306, 308, 382, 410, 417, 458, 531, 594, 641, 682, 758, 850, 986, 1086, 1243, 1398, 1560, 1770, 1880, 1952, 2131, 2389, 2692, 3057, 3323, 3676, 3897, 4075, 4013, 4163, 4439, 4839, 4967, 5206, 5428, 5597, 5601, 5688, 5600, 5762, 5952, 6016, 6004, 6009, 6076, 6140, 6320, 6293, 6165]
15	chart	Thallus migugis, small children	61 points	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	alive every 500 s: [0, 61, 90, 61, 51, 30, 32, 40, 49, 80, 97, 108, 114, 130, 138, 162, 191, 212, 236, 282, 337, 386, 396, 451, 536, 631, 733, 819, 931, 1003, 1069, 1088, 1117, 1154, 1175, 1199, 1211, 1216, 1224, 1237, 1204, 1160, 1103, 1088, 1019, 959, 929, 877, 836, 818, 793, 812, 914, 1021, 1160, 1343, 1519, 1736, 1916, 2098, 2340]
16	caption 1	tank 1, 23,300 s; a nisimocrax leaf	23,300.5 s; parent 44820 in clade 43	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	birth row 48048; parent born 22,486.5, died 24,038.5
16	caption 2	body 48048 carries a bud of stomach	bud 'absorptive', budx 1	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	birth row 48048
16	caption 3	rule one	D119	DECISIONS.md D119; Mutator (no ChangeCellType); Developer (welded bud)	a bud is a copy of a node at the born-small size with another cell type
17	caption 1	4,200 s old	4,199.5 s	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	row id 48048 t 27500
17	caption 1	over twice the average age	4,199.5 / 1,893.8 = 2.22	runs/r48-s1/2026-09-24-115115-e5a30c15/stats.jsonl	meanAge at 27500
17	caption 2	at the surface; six children	y -0.186 m; children 6	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	row id 48048 t 27500
17	caption 3	0.13% of its income	0.1315%	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	foodW 0.000184 / (foodW + lightW 0.13961); over its sampled life 0.130%
17	caption 4	like body 201	both flags (1,0,1), both budded absorptive from a leaf, both 2 parts	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl; absorptive.jsonl	birth rows 201 and 48048; parts 2 in both rows
17	chart	light	99.87%	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	lightW / (lightW + foodW) at 27500
17	chart	snow	0.13%	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	foodW / (lightW + foodW) at 27500
18	caption 1	29 alive	29	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	clade 48048 at 30000
18	caption 2	no larger stomach-carrying line in any tank	s1 29, 19, 10; s2 6; s3 3	runs/r48-s*/lineage.jsonl	clades of living abs=1 bodies at each run's last sample, largest first
18	caption 3	nine dropped the stomach	9	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	living descendants of 48048 with flags (0,0,1)
18	caption 4	three other stomach buds on nisimocrax leaves left ten or more	living descendants at 30,000 s: 52803 31, 61200 10, 59978 10	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	birth rows with bud absorptive whose parent is in clade 43 (Frondium nisimocrax), born 24,487, 26,522.5 and 26,217 s; none descends from another or from 48048
18	caption 5	that second hope held here (a budded stomach founded a line)	M3: 38 descendants, 29 in the line	logbook/0119 M3	held in seed 1 only (s2 best 9, s3 best 6)
18	chart	Vorafrons vabecrepis alive	[[23000, 0], [23250, 0], [23500, 1], [23750, 1], [24000, 2], [24250, 3], [24500, 3], [24750, 4], [25000, 6], [25250, 10], [25500, 13], [25750, 14], [26000, 16], [26250, 21], [26500, 22], [26750, 23], [27000, 25], [27250, 26], [27500, 31], [27750, 36], [28000, 37], [28250, 37], [28500, 36], [28750, 33], [29000, 27], [29250, 25], [29500, 28], [29750, 29], [30000, 29]]	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	clade 48048 every 250 s from 23,000 s; peak 40 at 28,036.5 s
19	caption 1	tanks 1 and 3 each ended with about 8,600 bodies alive	8,618 and 8,589	runs/r48-s1, r48-s3 stats.jsonl	alive at 30000
19	caption 2	stopped at 13,700 s on a software error	13,700 s; status error	runs/r48-s2/2026-09-24-115119-e5a30c15/run.json	ending: ArgumentException: Field 'densityHere' is -Infinity (absorptive log writer)
19	caption 3	cause not found yet	open	HANDOFF.md (2026-09-25); scratch/film/r48-s2-probe.log	a probe of seed 2 was running at 10:22 on 2026-09-25; update this caption if it finds the cause
19	chart	tank 1	121 points	stats.jsonl	alive every 250 s: [[0, 0], [250, 44], [500, 159], [750, 279], [1000, 520], [1250, 1061], [1500, 1478], [1750, 1783], [2000, 1785], [2250, 1802], [2500, 1776], [2750, 1778], [3000, 1583], [3250, 1464], [3500, 1546], [3750, 1566], [4000, 1582], [4250, 1648], [4500, 1727], [4750, 1796], [5000, 1874], [5250, 1951], [5500, 2053], [5750, 2133], [6000, 2144], [6250, 2217], [6500, 2323], [6750, 2380], [7000, 2475], [7250, 2470], [7500, 2539], [7750, 2557], [8000, 2619], [8250, 2715], [8500, 2795], [8750, 2871], [9000, 2953], [9250, 3042], [9500, 3091], [9750, 2933], [10000, 2859], [10250, 2887], [10500, 2879], [10750, 2905], [11000, 2970], [11250, 3106], [11500, 3165], [11750, 3210], [12000, 3282], [12250, 3429], [12500, 3527], [12750, 3586], [13000, 3701], [13250, 3750], [13500, 3690], [13750, 3713], [14000, 3705], [14250, 3721], [14500, 3714], [14750, 3790], [15000, 3832], [15250, 3852], [15500, 3892], [15750, 3867], [16000, 3946], [16250, 3889], [16500, 3813], [16750, 3741], [17000, 3822], [17250, 3901], [17500, 3973], [17750, 4101], [18000, 4286], [18250, 4529], [18500, 4664], [18750, 4690], [19000, 4822], [19250, 4807], [19500, 4877], [19750, 4928], [20000, 5003], [20250, 5045], [20500, 5256], [20750, 5429], [21000, 5598], [21250, 5741], [21500, 5816], [21750, 5881], [22000, 6060], [22250, 6053], [22500, 6242], [22750, 6430], [23000, 6448], [23250, 6649], [23500, 6728], [23750, 6796], [24000, 6999], [24250, 7147], [24500, 7308], [24750, 7416], [25000, 7581], [25250, 7741], [25500, 7857], [25750, 7954], [26000, 8028], [26250, 8039], [26500, 8008], [26750, 8201], [27000, 8242], [27250, 8307], [27500, 8363], [27750, 8392], [28000, 8377], [28250, 8406], [28500, 8365], [28750, 8097], [29000, 8067], [29250, 8259], [29500, 8386], [29750, 8476], [30000, 8618]]
19	chart	tank 2	56 points	stats.jsonl	alive every 250 s: [[0, 0], [250, 94], [500, 674], [750, 1973], [1000, 3058], [1250, 3443], [1500, 3435], [1750, 3276], [2000, 3150], [2250, 3004], [2500, 2862], [2750, 2711], [3000, 2630], [3250, 2580], [3500, 2558], [3750, 2495], [4000, 2407], [4250, 2395], [4500, 2387], [4750, 2390], [5000, 2381], [5250, 2392], [5500, 2459], [5750, 2471], [6000, 2585], [6250, 2652], [6500, 2695], [6750, 2779], [7000, 2869], [7250, 2943], [7500, 3018], [7750, 3136], [8000, 3252], [8250, 3377], [8500, 3412], [8750, 3464], [9000, 3478], [9250, 3500], [9500, 3487], [9750, 3568], [10000, 3621], [10250, 3729], [10500, 3732], [10750, 3752], [11000, 3871], [11250, 3943], [11500, 3974], [11750, 4031], [12000, 4048], [12250, 4130], [12500, 4203], [12750, 4315], [13000, 4360], [13250, 4461], [13500, 4601], [13690, 4583]]
19	chart	tank 3	121 points	stats.jsonl	alive every 250 s: [[0, 0], [250, 62], [500, 294], [750, 748], [1000, 1289], [1250, 1663], [1500, 1617], [1750, 1522], [2000, 1350], [2250, 1225], [2500, 1165], [2750, 1027], [3000, 954], [3250, 956], [3500, 973], [3750, 964], [4000, 965], [4250, 984], [4500, 979], [4750, 1010], [5000, 1057], [5250, 1103], [5500, 1093], [5750, 1103], [6000, 1100], [6250, 1110], [6500, 1148], [6750, 1148], [7000, 1231], [7250, 1254], [7500, 1276], [7750, 1280], [8000, 1257], [8250, 1310], [8500, 1343], [8750, 1396], [9000, 1480], [9250, 1533], [9500, 1583], [9750, 1693], [10000, 1764], [10250, 1802], [10500, 1831], [10750, 1852], [11000, 1901], [11250, 2005], [11500, 2060], [11750, 2167], [12000, 2288], [12250, 2384], [12500, 2481], [12750, 2564], [13000, 2686], [13250, 2772], [13500, 2908], [13750, 3035], [14000, 3164], [14250, 3348], [14500, 3414], [14750, 3464], [15000, 3496], [15250, 3475], [15500, 3541], [15750, 3617], [16000, 3730], [16250, 3883], [16500, 4006], [16750, 4197], [17000, 4319], [17250, 4489], [17500, 4704], [17750, 4816], [18000, 4944], [18250, 5053], [18500, 5271], [18750, 5407], [19000, 5432], [19250, 5560], [19500, 5569], [19750, 5517], [20000, 5426], [20250, 5446], [20500, 5497], [20750, 5632], [21000, 5693], [21250, 5801], [21500, 6064], [21750, 6092], [22000, 6114], [22250, 6228], [22500, 6283], [22750, 6409], [23000, 6475], [23250, 6613], [23500, 6603], [23750, 6590], [24000, 6549], [24250, 6597], [24500, 6602], [24750, 6547], [25000, 6470], [25250, 6525], [25500, 6644], [25750, 6785], [26000, 6940], [26250, 6993], [26500, 7126], [26750, 7194], [27000, 7237], [27250, 7404], [27500, 7434], [27750, 7529], [28000, 7685], [28250, 7802], [28500, 7976], [28750, 8177], [29000, 8322], [29250, 8356], [29500, 8483], [29750, 8461], [30000, 8589]]
19	chart mark	newcomers begin	3,000 s	runs/r48-s1/2026-09-24-115115-e5a30c15/config.json	population floor closes (3000 s) and the trickle begins
19	chart mark	tank 2 stops	13,700 s	runs/r48-s2/2026-09-24-115119-e5a30c15/run.json	simulatedSeconds 13700
20	caption 1	all but three carry a leaf	8,615 of 8,618	runs/r48-s1/2026-09-24-115115-e5a30c15/stats.jsonl	photosynthetic and alive at 30000
20	caption 2	landed well, lived longer, bred, died out	chapters 3 and 4	as scenes 8, 9, 12	summary of checked rows
20	caption 3	nearly every stomach rides on a leaf	s1 >= 118/121, s2 >= 30/35, s3 >= 25/29	runs/r48-s*/stats.jsonl	absorptive minus (alive - photosynthetic) at each end
